Pourquoi les girafes ont-elles des cous si longs ?; Parce qu'elles veulent attraper les étoiles; Parce qu'elles ont peur de se perdre dans la foule; Parce qu'elles pratiquent le yoga tous les jours; Pour pouvoir manger les feuilles des arbres plus facilement. 
Pourquoi les poules traversent-elles la route ?; Parce qu'elles veulent voir ce qu'il y a de l'autre côté; Parce qu'elles cherchent des œufs en chocolat; Parce qu'elles suivent le troupeau; Pour se rendre de l'autre côté. 
Pourquoi les écureuils sont-ils toujours en retard aux réunions ?; Parce qu'ils ont toujours des noisettes à cacher; Parce qu'ils prennent leur temps pour se coiffer; Parce qu'ils se perdent en chemin; Parce qu'ils sont très occupés à chercher des glands. 
Pourquoi les vaches ne peuvent-elles pas dire de secrets à l'oreille ?; Parce qu'elles ont des grandes oreilles; Parce qu'elles ont une mauvaise ouïe; Parce qu'elles ont toujours des problèmes de bégaiement; Parce qu'elles n'ont pas d'oreille. 
Pourquoi les éléphants ne jouent-ils jamais aux cartes dans la jungle ?; Parce qu'ils ne savent pas compter; Parce qu'ils ont peur des serpents qui trichent; Parce qu'ils sont trop lourds pour les tables; Parce qu'ils préfèrent jouer à cache-cache. 
Pourquoi les bananes sont-elles toujours célibataires ?; Parce qu'elles ont la peau trop fine; Parce qu'elles sont trop douces pour être prises au sérieux; Parce qu'elles se retrouvent toujours dans des salades de fruits; Parce qu'elles ne trouvent jamais la bonne écorce. 
Pourquoi les pingouins portent-ils des smokings ?; Parce qu'ils vont à des fêtes chics; Parce qu'ils veulent impressionner les manchots; Parce qu'ils aiment se déguiser en James Bond; Parce qu'ils ont une réunion de famille. 
Pourquoi les moutons ont-ils l'air si suspicieux ?; Parce qu'ils pensent que tout le monde les regarde de travers; Parce qu'ils ont peur du tondeur de moutons; Parce qu'ils ont entendu dire que les loups se cachent parmi eux; Parce qu'ils sont toujours à l'affût des mauvaises herbes. 
Pourquoi les pommes de terre sont-elles bonnes au football ?; Parce qu'elles sont bien rôties; Parce qu'elles sont toujours prêtes à se lancer dans le jeu; Parce qu'elles ont l'air d'une balle de football; Parce qu'elles ont de bons pieds. 
Pourquoi les souris ne sont-elles jamais invitées aux fêtes ?; Parce qu'elles sont trop timides; Parce qu'elles font peur aux chats; Parce qu'elles mangent tout le fromage; Parce qu'elles ont peur des pièges à souris. 
Pourquoi les nuages sont-ils toujours en retard à leur rendez-vous ?; Parce qu'ils s'arrêtent toujours pour prendre une douche; Parce qu'ils aiment se promener dans le ciel; Parce qu'ils ont trop de choses à penser; Parce qu'ils sont toujours perdus dans leurs pensées. 
Pourquoi les crayons font-ils de mauvais danseurs ?; Parce qu'ils ont toujours la mine basse; Parce qu'ils ne peuvent pas suivre le rythme; Parce qu'ils ont des problèmes de coordination; Parce qu'ils ont toujours besoin d'être taillés. 
Pourquoi les chauves-souris ne portent-elles jamais de casquettes ?; Parce qu'elles ont déjà des ailes; Parce qu'elles n'ont pas de tête; Parce qu'elles volent toujours la nuit; Parce qu'elles ont déjà des oreilles pointues. 
Pourquoi les serpents ne jouent-ils jamais aux jeux de société ?; Parce qu'ils n'ont pas de bras pour lancer les dés; Parce qu'ils sont trop occupés à se faufiler; Parce qu'ils n'aiment pas partager; Parce qu'ils ont peur de se faire écraser. 
Pourquoi les livres ont-ils l'air si timides dans la bibliothèque ?; Parce qu'ils ont peur d'être lus; Parce qu'ils préfèrent rester tranquilles; Parce qu'ils ont peur des punaises; Parce qu'ils ont des couvertures fermées. 
